                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99955,                 2.4011,                 1.4044,                0.44131,                0.52439,                0.48739,                0.26822,                 1.4329,                  2.231,                 1.9019,             0.00027474,             0.00027474,             0.00027474
                      2,                 1.1796,                 2.0483,                 1.5467,                0.25447,                0.33331,                0.23181,                0.10075,                  1.788,                 3.4092,                 2.3891,             0.00054694,             0.00054694,             0.00054694
                      3,                 1.2474,                 2.1083,                 1.5842,                0.38587,                0.27037,                0.23874,                0.11065,                 1.8191,                 2.7432,                  2.456,             0.00081364,             0.00081364,             0.00081364
                      4,                 1.2887,                 2.0984,                 1.6269,                0.48214,                0.37092,                0.36892,                0.17894,                 1.7727,                 2.4889,                 2.4148,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.2145,                 1.9356,                 1.5663,                0.51069,                0.49896,                0.48191,                0.30226,                 1.2822,                 1.9644,                 1.7329,             0.00080826,             0.00080826,             0.00080826
                      6,                 1.1577,                 1.8704,                 1.5171,                0.49534,                0.52727,                0.49264,                0.28405,                 1.3685,                 2.0027,                 1.7175,             0.00080001,             0.00080001,             0.00080001
                      7,                 1.1735,                 1.8135,                 1.5144,                0.61592,                0.57778,                0.55607,                0.33956,                 1.2701,                 1.6236,                 1.6993,             0.00079177,             0.00079177,             0.00079177
                      8,                 1.1006,                 1.7103,                 1.4861,                0.62377,                0.55665,                0.58153,                0.35894,                  1.284,                  1.528,                 1.7286,             0.00078352,             0.00078352,             0.00078352
                      9,                 1.0805,                 1.5868,                 1.4435,                0.42498,                0.51149,                0.47012,                0.28523,                  1.311,                 1.8409,                 1.7295,             0.00077527,             0.00077527,             0.00077527
                     10,                 1.0081,                 1.6686,                 1.4168,                0.55568,                0.58162,                0.56356,                0.35695,                 1.1408,                 1.6507,                 1.5591,             0.00076703,             0.00076703,             0.00076703
                     11,                 1.0472,                 1.5569,                 1.4365,                0.62207,                0.55544,                0.61788,                0.38088,                 1.2493,                  1.503,                 1.6577,             0.00075878,             0.00075878,             0.00075878
                     12,                 1.0306,                 1.4958,                 1.4189,                0.62692,                0.66428,                0.66725,                0.44765,                 1.1332,                   1.34,                 1.5376,             0.00075053,             0.00075053,             0.00075053
